104/01/05,11.08,3.44,1.5
104/01/06,10.74,3.55,1.45
104/01/07,10.83,3.52,1.46
104/01/08,11.04,3.45,1.49
104/01/09,10.99,3.47,1.49
104/01/12,10.89,3.5,1.47
104/01/13,10.97,3.48,1.48
104/01/14,10.84,3.52,1.47
104/01/15,10.78,3.54,1.46
104/01/16,10.69,3.57,1.44
104/01/19,10.64,3.58,1.44
104/01/20,10.76,3.54,1.46
104/01/21,10.84,3.52,1.47
104/01/22,10.86,3.51,1.47
104/01/23,11.16,3.42,1.51
104/01/26,11.28,3.38,1.53
104/01/27,11.28,3.38,1.53
104/01/28,11.17,3.41,1.51
104/01/29,11.02,3.46,1.49
104/01/30,11.02,3.46,1.49
104/02/02,10.99,3.47,1.49
104/02/03,11.11,3.43,1.5
104/02/04,11.12,3.43,1.5
104/02/05,11.09,3.44,1.5
104/02/06,11.09,3.44,1.5
104/02/09,11.05,3.45,1.49
104/02/10,10.86,3.51,1.47
104/02/11,10.78,3.54,1.46
104/02/12,10.95,3.48,1.48
104/02/13,10.9,3.5,1.47
104/02/24,10.9,3.5,1.47
104/02/25,10.97,3.48,1.48
104/02/26,11.07,3.44,1.5
